account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A-00cac8,NexGen Consulting,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False
A-35083d,RetailNova Partners,HealthTech,IN,2023-04-28,partner,Basic,19,False,True
A-eb7fac,MediCore Labs,DevTools,US,2023-10-28,organic,Enterprise,7,False,False
A-b20d99,Neural Collective,HealthTech,IN,2023-09-27,other,Basic,20,False,False
A-396e5f,MarketSphere Systems,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False
A-45ce7a,CareSphere Systems,FinTech,US,2023-07-23,ads,Enterprise,16,False,False
A-08e34e,UrbanCart Analytics,EdTech,US,2024-06-27,event,Basic,14,False,True
A-8145a0,CareSphere Ventures,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False
A-bad8c1,Nova Industries,FinTech,AU,2023-03-01,organic,Basic,7,False,False
A-44dc83,ShopCore Consulting,EdTech,FR,2024-05-12,other,Basic,5,False,False
A-f446b6,TradeHub Technologies,DevTools,DE,2023-05-12,ads,Pro,5,True,False
A-a45270,LearnBridge Enterprises,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False
A-854864,SteelBridge Partners,FinTech,IN,2024-12-07,event,Enterprise,20,False,False
A-1b7577,Quantum Global,Cybersecurity,US,2024-10-27,other,Pro,4,False,False
A-05f0e5,Meridian Group,FinTech,US,2023-05-04,partner,Basic,32,False,False
A-9077b0,SteelBridge Technologies,HealthTech,US,2024-08-25,ads,Basic,2,False,False
A-7f8241,Orbit Ventures,EdTech,US,2023-03-14,organic,Pro,34,False,True
A-2bc93d,IronWorks Group,HealthTech,US,2023-03-14,event,Basic,14,False,False
A-f3ff05,CareSphere Consulting,FinTech,IN,2024-07-06,other,Enterprise,2,False,False
A-2d4502,Meridian Digital,FinTech,IN,2024-04-29,event,Basic,7,False,False
A-6a4e2d,ByteForge Industries,EdTech,UK,2023-04-07,partner,Pro,9,False,False
A-eb7c38,MarketSphere Collective,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False
A-c37601,MarketSphere Technologies,EdTech,US,2024-10-31,partner,Basic,6,True,False
A-3b5cd1,UrbanCart Enterprises,FinTech,US,2023-09-12,event,Basic,13,True,False
A-b2225d,SteelBridge Systems,FinTech,US,2024-03-08,ads,Basic,47,False,True
A-94f8c9,CareSphere Technologies,HealthTech,US,2024-03-29,other,Basic,13,False,False
A-02fac6,CoreFab Industries,FinTech,US,2023-04-06,event,Pro,22,False,False
A-c1dfe1,VitalPoint Industries,DevTools,DE,2023-08-07,ads,Pro,26,False,False
A-32728c,BlueRiver Solutions,DevTools,US,2023-01-03,event,Pro,20,False,True
A-4c38bc,CapitalEdge Holdings,HealthTech,UK,2024-03-09,event,Basic,36,False,True
A-1b707d,CoreFab Enterprises,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False
A-6f8ad2,VitalPoint Holdings,EdTech,IN,2024-07-09,organic,Basic,1,False,False
A-4d1e75,Orbit Holdings,DevTools,US,2024-08-21,other,Basic,20,False,False
A-9ee962,Titan Holdings,HealthTech,US,2023-02-28,ads,Basic,9,False,True
A-378b99,MarketSphere Analytics,EdTech,UK,2024-09-01,ads,Pro,8,True,False
A-94d3da,Pioneer Collective,HealthTech,US,2023-05-03,other,Basic,41,False,False
A-e351e1,Synapse Ventures,EdTech,US,2024-09-26,other,Enterprise,33,False,False
A-9badbd,PrimeForge Analytics,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False
A-7e0a10,Scholarly Partners,FinTech,US,2023-11-18,ads,Enterprise,46,False,False
A-118d55,BlueRiver Global,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False
A-526d93,Orbit Technologies,HealthTech,FR,2024-04-14,organic,Basic,43,False,False
A-f92792,Titan Group,FinTech,US,2024-07-04,ads,Pro,1,False,False
A-84ebe4,Synapse Consulting,FinTech,US,2023-03-12,ads,Pro,18,True,True
A-5b4ebb,AcademiaPro Analytics,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True
A-2922b6,NexGen Partners,HealthTech,US,2024-11-14,organic,Basic,15,False,False
A-9b9fe9,Stratus Partners,EdTech,AU,2023-09-28,other,Basic,5,False,False
A-a8b49c,Stratus Holdings,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False
A-9174e0,Pioneer Industries,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False
A-a1bbb6,RetailNova Labs,DevTools,CA,2023-04-05,organic,Basic,1,False,False
A-c45b23,BrightPath Industries,FinTech,UK,2023-12-08,partner,Basic,5,False,False
A-02cd81,IronWorks Ventures,HealthTech,IN,2024-03-28,other,Basic,44,False,False
A-ee42db,Summit Industries,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False
A-432483,CareSphere Collective,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False
A-9208f0,Summit Global,EdTech,US,2023-05-11,organic,Pro,1,False,True
A-98a59a,NorthBridge Collective,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False
A-fe79a5,Quantum Technologies,HealthTech,IN,2024-02-21,ads,Basic,9,True,False
A-726cfa,Synapse Systems,DevTools,US,2023-07-01,partner,Pro,11,False,False
A-c43359,Pioneer Holdings,FinTech,US,2024-11-16,organic,Pro,38,False,False
A-271f46,Stratus Systems,DevTools,US,2023-02-09,event,Pro,38,False,True
A-157070,Apex Global,FinTech,US,2023-11-09,ads,Pro,16,False,False
A-40a557,Nova Holdings,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False
A-66224b,HealthBridge Partners,HealthTech,US,2024-10-18,other,Pro,92,True,False
A-91e948,LearnBridge Collective,EdTech,AU,2023-01-29,partner,Basic,41,False,False
A-104f1a,Scholarly Technologies,Cybersecurity,US,2024-08-17,other,Pro,24,False,False
A-7988d1,VitalPoint Partners,Cybersecurity,US,2023-12-20,other,Basic,33,False,False
A-faa28c,UrbanCart Industries,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False
A-f25509,IronWorks Technologies,EdTech,US,2024-03-22,other,Enterprise,32,False,False
A-3a7284,Cloud Global,FinTech,US,2024-11-17,organic,Enterprise,31,False,False
A-3a5ad8,EduSphere Collective,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False
A-65a46c,BrightPath Digital,HealthTech,US,2023-11-04,event,Pro,1,False,False
A-8b25f2,Summit Group,Cybersecurity,US,2024-02-17,ads,Pro,6,False,True
A-fabe19,Zenith Global,DevTools,UK,2024-11-11,ads,Enterprise,1,False,False
A-adc1f3,NorthBridge Global,Cybersecurity,US,2024-08-05,organic,Pro,2,False,False
A-503d5a,LearnBridge Industries,FinTech,US,2023-10-21,other,Enterprise,4,False,True
A-fd7ad3,Zenith Digital,Cybersecurity,US,2024-11-01,event,Enterprise,1,False,False
A-186a44,BrightPath Solutions,HealthTech,US,2023-08-07,ads,Enterprise,20,False,False
A-e888d1,Synapse Collective,Cybersecurity,US,2023-03-28,other,Pro,14,False,False
A-69fad4,CoreFab Analytics,FinTech,UK,2023-04-06,ads,Basic,6,False,True
A-9289f6,Titan Systems,EdTech,US,2023-05-31,event,Enterprise,1,False,False
A-f19409,NorthBridge Enterprises,DevTools,US,2023-03-16,other,Basic,23,False,True
A-22f2df,Meridian Industries,DevTools,US,2024-12-14,ads,Basic,3,False,False
A-039727,Apex Digital,EdTech,AU,2024-11-02,organic,Pro,25,False,False
A-2e3bad,NorthBridge Group,FinTech,CA,2023-08-13,other,Pro,61,False,False
A-484819,Stratus Labs,HealthTech,US,2023-02-21,organic,Pro,18,False,False
A-425e76,RetailNova Digital,DevTools,UK,2023-05-17,other,Enterprise,8,False,True
A-e83938,PulseCore Systems,DevTools,UK,2023-11-21,other,Pro,2,True,True
A-ad296b,Summit Labs,DevTools,AU,2024-07-15,event,Pro,38,False,False
A-e51ec7,BrightPath Systems,FinTech,CA,2023-09-23,partner,Enterprise,2,False,False
A-0aaf6e,Meridian Labs,FinTech,US,2024-05-11,organic,Enterprise,3,False,False
A-e61e98,Cloud Collective,FinTech,US,2023-10-20,partner,Enterprise,19,False,True
A-92a333,Quantum Enterprises,FinTech,US,2023-03-24,event,Enterprise,9,False,False
A-95b24a,BlueRiver Industries,FinTech,US,2023-06-06,event,Pro,38,False,True
A-42e5e1,MarketSphere Partners,DevTools,US,2024-07-09,ads,Pro,1,False,True
A-7d514c,Nova Collective,HealthTech,DE,2024-02-03,organic,Enterprise,17,False,False
A-65aeb5,CoreFab Consulting,DevTools,US,2024-01-25,partner,Pro,9,False,False
A-e2cd1b,BioNova Group,DevTools,US,2024-02-04,other,Enterprise,15,False,False
A-180abf,Vertex Industries,DevTools,US,2023-08-14,event,Pro,64,False,True
A-f17767,Meridian Ventures,DevTools,US,2023-01-30,event,Enterprise,1,True,True
A-5a184f,Synapse Solutions,DevTools,DE,2023-06-19,other,Enterprise,1,False,True
A-7df7a7,BioNova Enterprises,DevTools,US,2023-01-28,organic,Basic,7,False,True
A-1ac5e0,Orbit Consulting,DevTools,US,2024-10-20,event,Basic,33,False,True
A-52dd88,BioNova Collective,Cybersecurity,US,2023-02-21,ads,Pro,23,False,False
A-bece89,NorthBridge Ventures,Cybersecurity,IN,2023-12-01,event,Pro,26,False,False
A-029f69,ByteForge Consulting,Cybersecurity,CA,2024-03-07,event,Basic,3,False,False
A-5c046d,Stratus Enterprises,EdTech,FR,2024-07-06,partner,Basic,93,False,False
A-fb186e,BrightPath Ventures,EdTech,IN,2024-10-27,organic,Basic,29,False,False
A-ae052e,SteelBridge Holdings,FinTech,CA,2023-09-11,other,Basic,39,False,False
A-9f9299,PrimeForge Labs,FinTech,US,2023-09-02,organic,Enterprise,28,True,False
A-96e141,EduSphere Enterprises,DevTools,UK,2023-08-12,partner,Basic,14,False,False
A-117171,SteelBridge Consulting,HealthTech,FR,2024-09-12,organic,Basic,45,False,True
A-313be3,IronWorks Global,EdTech,US,2023-11-15,partner,Enterprise,47,True,False
A-671f31,Stratus Analytics,DevTools,US,2024-11-24,ads,Basic,59,False,False
A-bbc346,Scholarly Enterprises,FinTech,US,2024-08-29,partner,Enterprise,19,False,False
A-c16101,VitalPoint Systems,EdTech,IN,2024-09-06,other,Basic,7,False,False
A-50f3f7,BrightPath Labs,HealthTech,US,2023-12-22,partner,Basic,31,False,True
A-7da956,Neural Global,Cybersecurity,US,2024-06-02,event,Pro,13,True,False
A-019782,LearnBridge Digital,DevTools,FR,2023-04-19,event,Enterprise,11,False,False
A-df10db,MarketSphere Solutions,DevTools,US,2023-06-06,other,Enterprise,2,True,False
A-3932db,NorthBridge Industries,HealthTech,CA,2023-10-04,other,Pro,19,True,True
A-4f18f0,TradeHub Digital,DevTools,CA,2024-04-21,other,Pro,24,True,False
A-4c6f11,NexGen Collective,FinTech,CA,2023-11-27,organic,Pro,24,True,True
A-8ae05d,MediCore Industries,FinTech,IN,2024-04-06,other,Enterprise,86,False,False
A-b78bf8,Cloud Holdings,DevTools,US,2024-11-15,event,Pro,33,False,False
A-eafc6e,Sterling Collective,DevTools,US,2023-07-06,partner,Pro,27,False,True
A-37f969,CapitalEdge Systems,HealthTech,IN,2023-10-14,partner,Enterprise,30,False,False
A-10b8f2,BlueRiver Ventures,HealthTech,DE,2023-01-11,organic,Basic,47,True,False
A-439b2f,Sterling Labs,DevTools,US,2024-02-21,ads,Enterprise,1,False,True
A-544d0a,NexGen Labs,DevTools,US,2024-05-02,organic,Basic,2,True,False
A-ba6516,Synapse Technologies,FinTech,US,2023-10-29,ads,Pro,27,False,False
A-712426,Neural Technologies,HealthTech,US,2024-11-10,other,Enterprise,9,False,False
A-038089,BlueRiver Partners,DevTools,FR,2023-12-19,other,Pro,5,False,True
A-afa505,Cloud Technologies,DevTools,US,2023-12-27,partner,Basic,70,True,False
A-d5a319,PrimeForge Ventures,FinTech,US,2023-05-04,other,Enterprise,15,False,True
A-f97b9a,Sterling Holdings,FinTech,US,2023-07-09,event,Pro,16,False,False
A-2f6a32,BioNova Consulting,HealthTech,US,2024-08-26,organic,Basic,19,False,False
A-856b1e,BlueRiver Analytics,FinTech,US,2023-10-31,partner,Basic,19,False,False
A-17939a,Apex Technologies,HealthTech,US,2024-12-26,organic,Basic,1,False,False
A-d27f50,CapitalEdge Consulting,Cybersecurity,UK,2024-07-20,ads,Enterprise,44,False,False
A-e36807,Cloud Group,EdTech,AU,2024-05-17,other,Pro,6,False,False
A-ff79f2,PrimeForge Systems,DevTools,US,2024-04-25,ads,Basic,8,False,True
A-5b1bcd,SteelBridge Collective,DevTools,US,2023-09-16,organic,Pro,73,False,False
A-71615e,LearnBridge Holdings,EdTech,US,2024-05-18,organic,Basic,15,False,False
A-794a0b,MarketSphere Consulting,HealthTech,DE,2023-06-02,organic,Basic,23,False,False
A-86902e,SteelBridge Group,HealthTech,IN,2023-05-02,other,Enterprise,34,False,False
A-0532a9,Titan Labs,FinTech,IN,2024-09-25,event,Pro,19,False,False
A-9779ad,Scholarly Digital,Cybersecurity,AU,2024-03-29,event,Pro,40,True,True
A-f45426,Synapse Labs,HealthTech,US,2024-08-05,organic,Basic,9,False,False
A-c1e51e,VitalPoint Technologies,FinTech,US,2024-10-02,organic,Basic,3,False,False
A-fa3095,BlueRiver Enterprises,FinTech,US,2023-09-03,ads,Basic,70,False,False
A-ad64c6,Meridian Collective,DevTools,UK,2024-02-23,event,Pro,12,False,False
A-39b19f,ShopCore Systems,FinTech,US,2023-02-03,partner,Enterprise,1,False,False
A-56962b,IronWorks Enterprises,EdTech,UK,2024-04-09,partner,Enterprise,163,False,False
A-e60f9d,BioNova Technologies,FinTech,US,2024-08-26,other,Basic,29,False,False
A-88c6ca,AcademiaPro Holdings,FinTech,DE,2024-10-25,ads,Basic,5,False,True
A-158f4e,NorthBridge Consulting,FinTech,IN,2023-03-03,other,Enterprise,61,False,False
A-5b051a,Quantum Analytics,Cybersecurity,US,2024-08-05,event,Enterprise,22,False,False
A-296d7c,Quantum Ventures,DevTools,DE,2023-11-08,other,Enterprise,2,False,False
A-1619f8,MediCore Solutions,DevTools,US,2024-05-20,organic,Pro,29,False,False
A-a1b80b,Meridian Holdings,HealthTech,US,2023-11-27,organic,Basic,16,False,False
A-139c3b,UrbanCart Partners,HealthTech,US,2024-11-21,organic,Enterprise,10,True,True
A-702032,NexGen Digital,HealthTech,US,2023-10-03,ads,Pro,28,False,False
A-7a0d69,CapitalEdge Labs,DevTools,DE,2024-06-15,ads,Enterprise,4,True,True
A-22d9d2,Synapse Holdings,DevTools,FR,2024-03-22,event,Pro,8,False,False
A-b9eed8,Scholarly Global,Cybersecurity,US,2024-02-23,organic,Basic,11,False,False
A-dfbd31,CoreFab Global,DevTools,UK,2023-12-04,partner,Enterprise,14,False,False
A-8e47ca,NexGen Industries,HealthTech,US,2024-02-15,organic,Pro,19,False,False
A-4437e4,PrimeForge Industries,Cybersecurity,US,2023-09-16,event,Enterprise,3,False,False
A-779e4e,UrbanCart Ventures,HealthTech,US,2023-01-02,organic,Basic,5,False,False
A-53f4e3,IronWorks Consulting,Cybersecurity,UK,2024-06-14,event,Enterprise,13,False,False
A-692f18,Nova Consulting,EdTech,US,2024-03-28,other,Basic,5,True,True
A-13466a,Scholarly Solutions,DevTools,AU,2023-10-22,event,Basic,2,False,True
A-1986ca,PrimeForge Digital,HealthTech,IN,2023-01-30,ads,Pro,20,False,False
A-0cc442,UrbanCart Holdings,EdTech,US,2024-07-18,organic,Basic,45,False,False
A-c608c8,Quantum Holdings,DevTools,DE,2023-04-27,ads,Pro,3,False,True
A-3be56b,Nova Ventures,HealthTech,IN,2023-10-26,event,Pro,3,False,True
A-354f12,AcademiaPro Industries,FinTech,US,2024-04-28,ads,Pro,1,True,False
A-68f37c,ByteForge Labs,HealthTech,US,2023-07-15,ads,Basic,4,False,False
A-aa9511,EduSphere Partners,DevTools,US,2023-10-10,other,Pro,23,True,False
A-af0cd2,Scholarly Holdings,Cybersecurity,IN,2023-01-03,other,Enterprise,19,True,False
A-bd4513,Sterling Industries,DevTools,AU,2024-11-06,event,Enterprise,50,True,False
A-c222ab,Zenith Partners,Cybersecurity,US,2024-05-10,other,Pro,32,False,True
A-34d880,Neural Enterprises,Cybersecurity,AU,2024-04-11,ads,Enterprise,4,False,False
A-508199,Orbit Industries,FinTech,AU,2024-01-28,event,Basic,19,False,False
A-f03140,BlueRiver Group,DevTools,IN,2023-11-22,event,Pro,27,True,False
A-410e86,Neural Holdings,FinTech,US,2024-11-10,organic,Basic,24,False,False
A-fa2041,Sterling Analytics,HealthTech,US,2024-05-29,organic,Pro,15,True,False
A-de58ca,CareSphere Labs,HealthTech,DE,2023-04-13,organic,Enterprise,15,False,False
A-05d3b3,Cloud Partners,DevTools,AU,2023-05-28,ads,Basic,9,True,False
A-249769,Vertex Partners,Cybersecurity,US,2024-04-25,event,Enterprise,4,False,True
A-e43bf7,Zenith Labs,Cybersecurity,AU,2023-03-24,other,Pro,44,False,False
A-eb2fdc,BlueRiver Digital,DevTools,AU,2023-11-21,organic,Enterprise,31,False,True
A-e1462e,RetailNova Consulting,FinTech,UK,2023-03-12,partner,Basic,15,False,False
A-cab532,HealthBridge Industries,DevTools,FR,2023-04-03,organic,Pro,11,True,False
A-9123ac,CareSphere Enterprises,Cybersecurity,DE,2023-06-20,organic,Pro,9,False,False
A-6e08f3,VitalPoint Global,Cybersecurity,US,2023-02-27,event,Basic,8,False,False
A-d922bf,Quantum Consulting,HealthTech,US,2023-09-08,ads,Basic,5,True,True
A-8ed5dd,ShopCore Global,EdTech,UK,2023-06-29,event,Enterprise,5,False,True
A-7c6b6b,Orbit Systems,FinTech,US,2024-11-30,other,Basic,6,False,False
A-3c1a3f,Meridian Global,DevTools,UK,2023-08-26,event,Pro,1,False,False
A-b48f73,Summit Collective,EdTech,AU,2024-11-13,event,Pro,80,True,False
A-76fa4d,NorthBridge Labs,HealthTech,US,2024-11-24,event,Pro,69,False,False
A-b2af2e,Nova Solutions,Cybersecurity,UK,2024-08-24,event,Enterprise,5,False,False
A-9bfc9f,ShopCore Analytics,DevTools,CA,2023-09-14,ads,Pro,53,False,False
A-4ae22a,Zenith Enterprises,EdTech,US,2024-05-09,other,Pro,6,False,True
A-fda07f,Scholarly Industries,Cybersecurity,FR,2024-08-11,partner,Basic,7,False,False
A-de24d5,Sterling Global,DevTools,US,2024-11-05,other,Enterprise,5,True,False
A-977ca0,Orbit Solutions,HealthTech,IN,2023-02-20,partner,Basic,6,False,True
A-ab438f,BlueRiver Technologies,Cybersecurity,US,2024-09-13,ads,Enterprise,13,False,True
A-e89151,Meridian Analytics,FinTech,UK,2023-09-14,organic,Pro,8,True,True
A-40906c,CapitalEdge Group,EdTech,US,2024-03-27,ads,Basic,92,False,False
A-81edc3,Titan Technologies,Cybersecurity,IN,2023-10-30,ads,Basic,5,False,False
A-328bd0,CoreFab Ventures,HealthTech,AU,2023-05-16,partner,Enterprise,18,False,False
A-b3fe05,Cloud Industries,Cybersecurity,CA,2024-05-28,partner,Pro,8,False,False
A-09540c,Stratus Consulting,Cybersecurity,CA,2023-10-30,event,Basic,67,True,False
A-e693b6,Cloud Solutions,FinTech,AU,2023-05-25,event,Enterprise,55,False,True
A-2446e3,CoreFab Solutions,EdTech,IN,2024-01-10,organic,Pro,27,False,False
A-241e75,Quantum Solutions,EdTech,US,2024-07-03,partner,Enterprise,3,False,False
A-922109,NexGen Holdings,Cybersecurity,US,2024-01-26,ads,Pro,3,False,False
A-ff3c73,PulseCore Global,HealthTech,AU,2023-01-26,other,Pro,21,False,False
A-8b0451,Pioneer Global,FinTech,UK,2024-09-16,event,Enterprise,41,False,False
A-331424,Vertex Group,DevTools,US,2023-11-06,organic,Basic,11,False,False
A-51ec1b,BioNova Global,DevTools,US,2023-11-08,ads,Enterprise,7,False,False
A-bcf664,ByteForge Partners,DevTools,US,2023-05-19,other,Pro,5,False,False
A-90a8c8,SteelBridge Industries,FinTech,AU,2024-08-24,organic,Pro,15,False,False
A-86cdb4,Meridian Solutions,DevTools,DE,2024-09-22,partner,Basic,2,False,False
A-4bfa33,Quantum Group,Cybersecurity,US,2024-12-07,event,Basic,8,True,False
A-dbc825,Scholarly Ventures,EdTech,FR,2024-01-07,partner,Enterprise,19,False,False
A-c70870,Meridian Partners,Cybersecurity,US,2024-10-22,partner,Basic,31,False,False
A-7c4956,Pioneer Solutions,DevTools,US,2023-05-06,ads,Enterprise,5,False,True
A-0651a4,SteelBridge Global,HealthTech,FR,2024-10-16,organic,Pro,16,False,False
A-3ce5b8,Nova Analytics,FinTech,IN,2023-09-07,ads,Basic,8,False,True
A-bd4708,Vertex Enterprises,FinTech,US,2024-07-21,ads,Pro,37,True,False
A-993085,BioNova Ventures,HealthTech,US,2023-06-01,ads,Basic,31,True,False
A-92a3af,Zenith Technologies,Cybersecurity,IN,2024-07-07,organic,Enterprise,25,False,False
A-151c9a,Sterling Group,FinTech,US,2023-01-27,ads,Enterprise,23,False,False
A-474ad4,TradeHub Industries,EdTech,US,2023-11-28,organic,Basic,8,False,False
A-4ef964,Summit Enterprises,HealthTech,US,2024-03-07,organic,Pro,17,False,False
A-fd9422,UrbanCart Solutions,Cybersecurity,US,2024-04-04,organic,Pro,58,False,False
A-0baac2,IronWorks Solutions,FinTech,DE,2024-05-30,organic,Enterprise,14,False,True
A-bb1486,VitalPoint Analytics,HealthTech,US,2024-11-05,organic,Basic,41,False,False
A-560d27,Stratus Industries,DevTools,US,2024-05-05,organic,Pro,23,False,False
A-0b0d6d,ByteForge Ventures,DevTools,US,2024-12-30,organic,Pro,3,False,False
A-2789e3,Sterling Consulting,FinTech,US,2024-09-14,partner,Enterprise,11,False,False
A-b07346,BioNova Industries,HealthTech,US,2024-10-10,partner,Pro,51,False,True
A-902ef7,Zenith Industries,HealthTech,US,2024-09-03,other,Enterprise,83,False,True
A-20736a,HealthBridge Digital,EdTech,IN,2024-03-16,organic,Enterprise,50,False,False
A-e4bf56,Quantum Labs,HealthTech,IN,2024-10-28,ads,Pro,17,False,True
A-cea1f0,EduSphere Systems,FinTech,US,2024-04-07,event,Pro,8,False,True
A-ef84cf,Titan Digital,EdTech,US,2024-03-01,partner,Enterprise,8,False,False
A-d49cc5,RetailNova Global,Cybersecurity,FR,2023-09-19,event,Basic,50,False,False
A-67be94,ByteForge Technologies,EdTech,US,2023-04-04,organic,Enterprise,26,False,False
A-4e960a,EduSphere Group,FinTech,US,2024-01-17,other,Enterprise,12,True,True
A-c37cab,CoreFab Partners,Cybersecurity,UK,2024-07-29,event,Pro,13,False,False
A-533452,PulseCore Solutions,DevTools,AU,2024-11-12,organic,Pro,9,False,False
A-443b7c,Vertex Consulting,Cybersecurity,US,2024-09-06,other,Enterprise,1,False,True
A-1f7acb,Scholarly Systems,FinTech,UK,2023-08-06,ads,Basic,64,True,False
A-f51f16,VitalPoint Group,HealthTech,US,2023-12-25,partner,Enterprise,1,False,False
A-5a3eb9,BrightPath Holdings,DevTools,CA,2023-08-20,other,Enterprise,18,True,False
A-5f2961,NexGen Group,HealthTech,US,2024-11-22,partner,Basic,4,False,False
A-417d2f,BioNova Solutions,Cybersecurity,IN,2023-07-04,partner,Pro,4,True,False
A-e98302,CareSphere Analytics,EdTech,US,2023-12-26,ads,Enterprise,16,True,False
A-8bde0c,MarketSphere Group,DevTools,US,2024-11-04,organic,Basic,12,False,False
A-bcf87c,TradeHub Consulting,FinTech,US,2024-06-27,event,Pro,10,False,True
A-54ecc2,Sterling Digital,Cybersecurity,US,2023-06-11,partner,Enterprise,4,False,False
A-625d0b,TradeHub Solutions,EdTech,AU,2024-09-02,ads,Basic,9,False,False
A-fce879,HealthBridge Enterprises,EdTech,UK,2024-09-24,partner,Pro,10,True,True
A-b07b56,IronWorks Systems,DevTools,US,2024-11-08,event,Pro,25,False,True
A-6da850,Synapse Global,FinTech,IN,2023-10-07,organic,Pro,5,False,False
A-342303,Sterling Systems,EdTech,US,2024-03-16,other,Pro,1,True,False
A-e7a1e2,RetailNova Systems,Cybersecurity,US,2024-06-23,event,Enterprise,3,False,False
A-f1f639,Orbit Analytics,EdTech,US,2023-02-26,ads,Basic,2,False,False
A-a865bd,CareSphere Partners,Cybersecurity,US,2023-09-19,organic,Pro,38,False,False
A-4e631b,Pioneer Group,FinTech,US,2024-03-16,other,Enterprise,22,False,False
A-7f6b86,SteelBridge Enterprises,HealthTech,US,2023-08-24,partner,Basic,45,True,True
A-8adedc,AcademiaPro Group,EdTech,US,2024-02-11,event,Basic,4,True,True
A-2edab2,BrightPath Enterprises,HealthTech,US,2023-11-17,event,Enterprise,17,False,False
A-149a69,PrimeForge Collective,DevTools,US,2024-10-17,event,Basic,34,False,False
A-a6d261,Summit Analytics,FinTech,CA,2023-11-29,other,Pro,9,False,False
A-443f6f,BrightPath Global,Cybersecurity,US,2024-12-07,organic,Basic,19,False,False
A-202b67,BlueRiver Collective,HealthTech,US,2024-03-22,organic,Pro,11,False,False
A-00bed1,LearnBridge Global,Cybersecurity,US,2023-11-14,ads,Basic,28,True,False
A-ffc04f,Pioneer Ventures,EdTech,US,2024-06-06,ads,Pro,13,False,False
A-65c341,Summit Digital,FinTech,US,2023-12-26,ads,Pro,11,True,False
A-dcc2f0,TradeHub Collective,FinTech,UK,2023-07-22,organic,Basic,15,False,False
A-ced9aa,CareSphere Global,DevTools,US,2024-10-05,other,Enterprise,3,False,False
